,Name,Department,Employees,Type,Age,Locations,Reviews,Salaries,Interviews,Jobs,Benefits
5574,Amazon,Internet ,1 Lakh+, Public ,30, Seattle +456 more,21.9k,1.3L,4.2k,149,4.3k
5575,Jio,Telecom ,50k-1 Lakh, Public ,6, Navi Mumbai +1184 more,20.6k,65.3k,1.4k,111,2.6k
5576,IBM,IT Services & Consulting ,1 Lakh+, Public ,113, Armonk +149 more,20.1k,2.2L,2k,3.5k,2.8k
5577,Reliance Retail,Retail ,1 Lakh+,, 18 years old , Navi Mumbai +1022 more,19.8k,63k,1.3k,145,2k
5578,HDB Financial Services,NBFC ,1 Lakh+,, 17 years old , Ahmedabad +968 more,18.3k,49.2k,693,108,1.5k
5579,iEnergizer,BPO ,10k-50k,, 24 years old , Noida +31 more,16.9k,19.3k,393,79,541
5580,TCS,IT Services & Consulting ,1 Lakh+, Public ,56, Mumbai +350 more,77.9k,8.7L,8.4k,961,11.7k
5581,Accenture,IT Services & Consulting ,1 Lakh+, Public ,35, Dublin +182 more,48.6k,5.9L,6.1k,24.4k,7.2k
5582,Cognizant,IT Services & Consulting ,1 Lakh+, Forbes Global 2000 ,30, Teaneck. New Jersey. +179 more,43.9k,5.8L,4.7k,564,5.9k
5583,Wipro,IT Services & Consulting ,1 Lakh+, Public ,79, Bangalore/Bengaluru +278 more,41.7k,4.4L,4.6k,1.1k,5.1k
5584,Capgemini,IT Services & Consulting ,1 Lakh+, Public ,57, Paris +145 more,36k,4.3L,3.9k,801,4.1k
5585,HDFC Bank,Banking ,1 Lakh+, Public ,30, Mumbai +1567 more,34.9k,1.3L,1.9k,210,3.3k
5586,ICICI Bank,Banking ,1 Lakh+, Public ,30, Mumbai +1306 more,34.5k,1.5L,2.2k,53,3.8k
5587,Infosys,IT Services & Consulting ,1 Lakh+, Public ,43, Bengaluru/Bangalore +183 more,33.8k,4.7L,6.2k,1.3k,5.2k
5588,HCLTech,IT Services & Consulting ,1 Lakh+, Public ,33, Noida +184 more,30.4k,3.1L,3.2k,230,4.1k
5589,Tech Mahindra,IT Services & Consulting ,1 Lakh+, Public ,38, Pune +276 more,28.7k,2.6L,3k,876,3.6k
5590,Genpact,IT Services & Consulting ,1 Lakh+, Public ,27, New York +120 more,27.2k,2L,2.5k,439,3.7k
5591,Teleperformance,BPO ,50k-1 Lakh, Forbes Global 2000 ,46, Paris +194 more,23.8k,86.9k,1.5k,76,2.1k
5592,Axis Bank,Banking ,50k-1 Lakh, Public ,31, Mumbai +1330 more,22.7k,98.2k,1.3k,280,2.2k
5593,Concentrix Corporation,BPO ,50k-1 Lakh, Public ,41, Fremont +119 more,22.1k,1.1L,1.4k,64,3.3k
